Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
108,uddannelsestid,,1,0,1,1,0,1
136,evaluering,,1,3,4,2,4,6
138,vejlede,,1,1,2,1,1,2
148,vurdering,,1,1,2,1,1,2
10,naturgeografi,,1,0,1,2,0,2
135,foretage,,1,2,3,2,3,5
8,biologi,,1,0,1,2,0,2
7,fysik,,1,0,1,2,0,2
79,bygge,,1,1,2,1,1,2
107,omfang,,0,1,1,0,1,1
147,bedoemmelse,,0,2,2,0,11,11
6,grundelement,,1,4,5,8,8,16
9,kemi,,1,0,1,2,0,2
80,omkring,,1,1,2,1,1,2
19,elev,,15,29,44,32,66,98
81,tematisk,,1,1,2,1,1,2
126,computermodeller,,1,0,1,2,0,2
125,praesenteres,,1,1,2,2,2,4
70,eksempel,,2,1,3,4,2,6
69,udvikling,,2,1,3,4,2,6
144,samtale,,1,1,2,1,1,2
68,teknologisk,,2,1,3,2,2,4
87,tilrettelaegge,,2,2,4,4,4,8
77,relevans,,1,2,3,2,2,4
30,samfundsmaessig,,4,3,7,4,4,8
152,formaal,,1,0,1,1,0,1
151,redegoere,,1,2,3,2,2,4
67,bidrag,,2,3,5,5,5,10
130,AT,,1,1,2,3,3,6
140,udarbejder,,1,1,2,1,1,2
71,indhold,,1,4,5,1,5,6
153,udfoerelse,,1,1,2,1,1,2
11,forskellighed,,1,1,2,4,4,8
141,individuelt,,1,0,1,1,0,1
3,fag,,6,10,16,23,24,47
21,betydning,,1,2,3,2,2,4
82,fortrinvis,,1,1,2,1,1,2
1,NV,,2,9,11,4,23,27
22,kende,,1,1,2,1,1,2
84,forloeb,,4,2,6,7,4,11
2,intro,,1,1,2,8,8,16
156,analysere,,1,2,3,2,2,4
20,undervisning,,2,5,7,6,9,15
83,flerfaglig,,2,1,3,4,4,8
5,arbejde,,6,7,13,23,21,44
132,relation,,1,2,3,2,2,4
4,faellestraek,,1,1,2,4,4,8
18,aktuel,,1,1,2,2,2,4
86,vedkommende,,1,1,2,1,1,2
114,fordybelse,,1,0,1,2,0,2
12,eksemplarisk,,2,2,4,3,3,6
105,integrere,,2,1,3,4,4,8
131,perspektivering,,1,1,2,3,3,6
76,vaerdi,,1,0,1,1,0,1
88,stimulere,,1,1,2,1,1,2
75,samarbejde,,1,1,2,1,1,2
13,problemstilling,,3,5,8,9,7,16
73,alle,,2,2,4,3,3,6
103,bringe,,1,1,2,1,1,2
60,formidle,,1,1,2,1,1,2
26,forholde,,1,1,2,2,2,4
106,foregaa,,1,1,2,2,2,4
25,forstaa,,2,1,3,3,1,4
23,naturvidenskab,,10,5,15,17,17,34
102,arbejdsform,,1,1,2,1,1,2
127,koordineres,,1,2,3,2,2,4
29,opnaa,,1,1,2,4,4,8
72,udvaelge,,1,1,2,1,1,2
27,viden,,2,3,5,9,7,16
101,valg,,1,2,3,2,3,5
143,baggrund,,2,2,4,2,2,4
85,tema,,2,3,5,3,4,7
66,perspektivere,,1,2,3,3,3,6
93,dele,,4,3,7,9,9,18
155,data,,2,0,2,2,0,2
41,nysgerrighed,,1,1,2,2,2,4
134,afslutning,,1,1,2,1,1,2
142,fortage,,0,1,1,0,1,1
133,evaluere,,1,1,2,1,1,2
42,omraade,,1,0,1,4,0,4
92,teoretisk,,1,1,2,1,1,2
120,produkt,,1,2,3,5,2,7
115,skriftlig,,4,2,6,5,11,16
139,afslutte,,1,1,2,2,2,4
44,gennemfoere,,1,3,4,12,15,27
52,iagttagelse,,1,3,4,6,8,14
146,afsluttende,,1,1,2,1,1,2
38,naturfaglig,,4,2,6,6,6,12
149,praesentation,,1,1,2,1,1,2
40,problem,,1,1,2,1,1,2
100,arbejdsprocess,,1,0,1,1,0,1
39,aspekt,,1,0,1,2,0,2
145,under,,1,1,2,1,1,2
122,behandle,,1,2,3,1,2,3
45,praktisk,,6,2,8,12,14,26
117,form,,1,1,2,1,1,2
46,undersoegelse,,1,5,6,13,10,23
43,engagement,,1,1,2,2,2,4
116,forskellig,,1,1,2,1,1,2
99,selvstaendig,,1,1,2,1,1,2
37,forhold,,1,1,2,1,1,2
123,maaledata,,1,1,2,1,1,2
96,induktiv,,1,1,2,1,2,3
111,indgaa,,3,2,5,8,8,16
98,prioritere,,1,1,2,2,1,3
34,udtryk,,1,1,2,2,2,4
97,undervisningsprincip,,1,1,2,2,2,4
35,vidensbasseret,,1,1,2,2,2,4
36,menning,,1,2,3,2,2,4
124,databehandling,,0,1,1,0,2,2
110,fremstilling,,1,1,2,3,3,6
128,matematik,,1,1,2,1,1,2
137,standpunkt,,1,0,1,1,0,1
119,krav,,1,1,2,1,1,2
47,laboratorie,,2,2,4,6,4,10
109,mundtlig,,0,1,1,0,3,3
78,henseende,,2,0,2,2,0,2
129,parallelt,,2,0,2,2,0,2
50,vurdere,,3,2,5,5,5,10
118,progression,,1,1,2,1,1,2
33,historisk,,2,2,4,2,2,4
48,opstille,,2,1,3,4,4,8
51,natur,,3,2,5,12,4,16
49,hypotese,,2,0,2,8,0,8
112,medvirke,,1,1,2,4,4,8
157,inddrage,,1,1,2,1,1,2
57,sammenhaeng,,1,1,2,6,6,12
150,maal,,1,0,1,1,0,1
24,tankegang,,1,0,1,2,0,2
94,stoette,,1,1,2,2,2,4
64,faglig,,5,6,11,9,10,19
154,resultat,,4,0,4,4,0,4
158,overvejelse,,1,0,1,1,0,1
14,oplevelsesorientere,,1,1,2,2,2,4
95,hinanden,,1,0,1,2,0,2
17,eksperimentel,,2,1,3,4,2,6
15,tilgang,,2,1,3,4,4,8
16,omverden,,1,0,1,4,0,4
56,beskrive,,3,3,6,8,8,16
63,anvendelse,,1,1,2,1,1,2
55,kvalitativ,,3,1,4,3,3,6
121,it-redskab,,1,0,1,2,0,2
28,begraensning,,2,2,4,3,2,5
53,anvende,,2,3,5,6,6,12
65,begreb,,1,1,2,3,1,4
113,udtryksform,,1,0,1,2,0,2
89,aktiv,,2,2,4,2,2,4
59,kvantitativ,,3,1,4,3,3,6
54,model,,2,4,6,6,6,12
62,korrekt,,3,2,5,3,2,5
58,mulighed,,2,3,5,3,3,6
104,laeringsrolle,,1,0,1,1,0,1
31,perspektiver,,3,0,3,3,0,3
61,emne,,1,1,2,1,1,2
32,etisk,,1,1,2,1,1,2
74,repraesenteret,,1,0,1,1,0,1
91,dialog,,1,0,1,1,0,1
90,deltage,,1,1,2,1,1,2
