Id,Label,timeset
39,aspekt,
37,forhold,
36,menning,
42,omraade,
38,naturfaglig,
35,vidensbasseret,
40,problem,
34,udtryk,
43,engagement,
41,nysgerrighed,
143,individuelt,
142,udarbejder,
91,dialog,
90,deltage,
152,maal,
61,emne,
62,korrekt,
65,begreb,
151,praesentation,
63,anvendelse,
116,fordybelse,
64,faglig,
123,it-redskab,
114,medvirke,
53,anvende,
144,fortage,
145,baggrund,
137,foretage,
138,evaluering,
146,samtale,
140,vejlede,
54,model,
110,omfang,
58,mulighed,
150,vurdering,
28,begraensning,
149,bedoemmelse,
103,bringe,
55,kvalitativ,
19,elev,
102,arbejdsform,
59,kvantitativ,
86,vedkommende,
56,beskrive,
87,tilrettelaegge,
57,sammenhaeng,
125,maaledata,
48,opstille,
51,natur,
49,hypotese,
50,vurdere,
52,iagttagelse,
25,forstaa,
47,laboratorie,
20,undervisning,
105,integrere,
101,valg,
21,betydning,
124,behandle,
46,undersoegelse,
109,metode,
85,tema,
106,muliggoer,
136,afslutning,
72,udvaelge,
45,praktisk,
22,kende,
44,gennemfoere,
135,evaluere,
73,alle,
26,forholde,
155,udfoerelse,
29,opnaa,
71,indhold,
131,parallelt,
130,matematik,
129,koordineres,
27,viden,
153,redegoere,
23,naturvidenskab,
75,samarbejde,
108,flere,
60,formidle,
1,NV,
83,flerfaglig,
133,perspektivering,
2,intro,
132,AT,
67,bidrag,
3,fag,
84,forloeb,
66,perspektivere,
89,aktiv,
104,laeringsrolle,
157,data,
154,formaal,
122,produkt,
119,form,
82,normal,
17,eksperimentel,
156,resultat,
148,afsluttende,
118,forskellig,
158,analysere,
120,progression,
81,tematisk,
141,afslutte,
147,under,
117,skriftlig,
121,krav,
139,standpunkt,
80,omkring,
107,indgaa,
4,faellestraek,
113,fremstilling,
79,bygge,
112,mundtlig,
11,forskellighed,
126,databehandling,
5,arbejde,
93,dele,
15,tilgang,
92,teoretisk,
16,omverden,
88,stimulere,
94,stoette,
14,oplevelsesorientere,
95,hinanden,
24,tankegang,
74,repraesenteret,
12,eksemplarisk,
8,biologi,
76,vaerdi,
6,grundelement,
10,naturgeografi,
9,kemi,
13,problemstilling,
18,aktuel,
111,uddannelsestid,
7,fysik,
159,inddrage,
160,overvejelse,
115,udtryksform,
134,relation,
30,samfundsmaessig,
77,relevans,
68,teknologisk,
69,udvikling,
33,historisk,
32,etisk,
78,henseende,
31,perspektiver,
70,eksempel,
127,praesenteres,
128,computermodeller,
96,induktiv,
97,undervisningsprincip,
98,prioritere,
99,selvstaendig,
100,arbejdsprocess,
