Id;Label;cluster
1;NV;4
2;intro;1
3;fag;1
4;faellestraek;2
5;arbejde;2
6;grundelement;2
7;fysik;2
8;biologi;2
9;kemi;2
10;naturgeografi;2
11;forskellighed;2
12;eksemplarisk;1
13;problemstilling;1
14;oplevelsesorientere;14
15;tilgang;14
16;omverden;14
17;eksperimentel;2
18;aktuel;1
19;elev;5
20;undervisning;6
21;betydning;1
22;kende;1
23;naturvidenskab;1
24;tankegang;1
25;forstaa;1
26;forholde;1
27;viden;1
28;begraensning;3
29;opnaa;1
30;samfundsmaessig;8
31;perspektiver;12
32;etisk;12
33;historisk;12
34;udtryk;9
35;vidensbasseret;9
36;menning;9
37;forhold;9
38;naturfaglig;9
39;aspekt;9
40;problem;9
41;nysgerrighed;9
42;omraade;9
43;engagement;9
44;gennemfoere;6
45;praktisk;11
46;undersoegelse;11
47;laboratorie;3
48;opstille;3
49;hypotese;3
50;vurdere;3
51;natur;3
52;iagttagelse;6
53;anvende;7
54;model;3
55;kvalitativ;3
56;beskrive;3
57;sammenhaeng;3
58;mulighed;3
59;kvantitativ;3
60;formidle;1
61;emne;7
62;korrekt;7
63;anvendelse;7
64;faglig;7
65;begreb;7
66;perspektivere;5
67;bidrag;4
68;teknologisk;8
69;udvikling;8
70;eksempel;8
71;indhold;1
72;udvaelge;1
73;alle;1
74;repraesenteret;1
75;samarbejde;1
76;vaerdi;1
77;relevans;12
78;henseende;12
79;bygge;4
80;omkring;4
81;tematisk;4
82;normal;4
83;flerfaglig;4
84;forloeb;4
85;tema;6
86;vedkommende;5
87;tilrettelaegge;5
88;stimulere;2
89;aktiv;17
90;deltage;18
91;dialog;18
92;teoretisk;2
93;dele;2
94;stoette;2
95;hinanden;2
96;induktiv;13
97;undervisningsprincip;13
98;prioritere;13
99;selvstaendig;13
100;arbejdsprocess;13
101;valg;6
102;arbejdsform;5
103;bringe;5
104;laeringsrolle;17
105;integrere;6
106;muliggoer;6
107;indgaa;2
108;flere;1
109;metode;6
110;omfang;5
111;uddannelsestid;2
112;mundtlig;2
113;fremstilling;2
114;medvirke;7
115;udtryksform;5
116;fordybelse;7
117;skriftlig;10
118;forskellig;10
119;form;10
120;progression;10
121;krav;10
122;produkt;10
123;it-redskab;7
124;behandle;10
125;maaledata;5
126;databehandling;2
127;praesenteres;8
128;computermodeller;8
129;koordineres;16
130;matematik;16
131;parallelt;16
132;AT;4
133;perspektivering;1
134;relation;8
135;evaluere;6
136;afslutning;6
137;foretage;15
138;evaluering;15
139;standpunkt;7
140;vejlede;5
141;afslutte;10
142;udarbejder;19
143;individuelt;19
144;fortage;15
145;baggrund;15
146;samtale;5
147;under;4
148;afsluttende;4
149;bedoemmelse;5
150;vurdering;5
151;praesentation;7
152;maal;7
153;redegoere;11
154;formaal;4
155;udfoerelse;11
156;resultat;3
157;data;3
158;analysere;3
159;inddrage;20
160;overvejelse;20
